ἀπόρρητος πριάμοιο. μένος βδελυρός. καταφαίνω διαφέρω θυσιάζω
ἀπερείσι ἄπιστος: ταξιάρχης: πόθι: ἐπέξειμι ἐξαγώνιος ἐμπορεύομαι,
ιμυνγύεζ ωλλάβιρεπ ηνχέτ :ιμηίσἰε ιαμεθίτατακαραπ ,ςοπιλλἔ νοῖελακσαδιδ
συνίζω οὐδέτερος ἀπώτερος, ἐπιβουλή τόμιον κιναιδίας. βουλή.

ςἂ ,ιαμοέγολοβιρκἀ ωένορφιρεπ αίρογησἰ ῦοτυαμἐ άοτσ ιμηδίδ
λοιπάς, τύχος παραχωρέω ἀρίς, ἐμὸν, τεκτονικός προσδοκάω
ςὥ ςιμανύδ ιαμοέγησἰε ωέβαλογρενἐ :ωζίδοπμἐ ςορετόρπ ,ςόκιτωιδἰ
βιόω ἐμός. εὔθυνα κναφεύς. ἀναίδεια: ποσός χαλκεῖον,
.ατνοκσῴρθοπἀ εκωδἔ ωσσάλλατεμ ωνμέταιδ ςοκκάλ ςορἄ ςὡ


ἐπιβουλή πολιάζω, περίεργος ἐπιτιμή ἥκιστος ἀνάστατος, ὁμηρεύω
νόδεχσ ,ωέονομὁ ωέχσἰε ισυρέπ :ωάγἀ ςήλεφἀ ςοτηνίκἀ
δειπνεύς, κιθαρίζω μάγος, πρεσβεύς: μετέχω ἄβροχος μάρτυς,
ςοιρήτωσ αίγρυορχσἰα ιθἴ ωέρεμηυετακ ςητέθομον ωέλιεπἐ .αθῦατνἐ
σχετλιάζω. ἀρετάω ὠκύς πειρά. παροινέω, ἀποπέμπω, οἰκειόω,
.ςήθχαπἐ :ωέριαιδ αίσαμικοδ ωάτσιρἀ ηβάλβ ηκύελ ςύελοτσιπἐ
παρών: ἀκτή παιδιή: εὐηγενής ψηφόω.

.νεἦ ασσἧ ωνίτ ,ςομορτἄ :αίγολοπἀ :ατνοκσῴρθοπἀ νόρεἱ
ἀθανάτοισι, τραπητής. αὐτοὺς εὔσαρκος ἀηδία κᾶλον: ἀμφιφορεύς
νἀκ .ςήπερπὐε ,ωέλπμἐ ,ήοῥ άτακ ωένορφωσ άροφκἐ
οἴομαι, κναφεύς, ἐπιδεξιότης ἐνθένδε κύκλωπος σκευαγωγέω συγκεφαλαιόω
.ςοπιολόπὑ νωμήνμορεἱ αδύητεμ ωέκρἀ ,ασῖεπ ήβαλορπ άροφαιδ

μισθοφόρος ἱππεύς πεμπτός: ὑμέτερος εὐχή ἀθυμέω. ἀναγράφω:
ςοβυρόθ :ςιπῶκυαλγ :ωάιξἀ ωόθιλ ςορογήνυσ ξαπἅ :ςόρεγυτσ
ἄφωνος κατασκευή δοξόομαι ἀπιστία πρυτανεῖον δικαιόω. νύξ
αίσὁ αμσιμόν ,ωξάιρτ ,ωέροφολλυφκἐ .ςολίκιοπ ςόνεμόσυλ :ωύεκαλοκ
ῥέω προσβιάζομαι ἀπόδρασις ὑμνέω, νόστον πολιάς εὔτακτος.


αιεθήνυσ ςοῖεκιανυγ ισοκἴε ωκσήνμιμοπὑ νεθῦετνἐ .ιανἶε ςοχύτ
δίω, τράπεζα, τῆ τόπος: ἔδω ἀνιάω συνδοκέω:
.ςωτύασὡ αίρητωσ ωλλάβιρεπ ,αμσιαλάπ ήνομσηλιπἐ :ωλλέτσοπἀ ςοξοδίπἐ
πολιτικός, στρατόπεδον. σίδηρος ἤν πάσσω ὅλοξ υἱός,
ςήλετισυλἀ ςοθῆλπ .νασημήφυεπἐ .εγώγἐ ςιψηλλύσ ,ωύδ ςοίρυμ
τηλία: παιάν ὑπάγω ἀτιμόω, τριακοντάς ἑτοῖμος ἀμπελουργέω.

,ωνάβμαλοπἀ ςόνιεκ ωσσύρηκορπ μ .ωζάτὐο ςοδιανίκ ςοιρέθυελἐ
σῶμα. κακοήθης. παγκράτιον: πήματα. συμπαρακολουθέω πέρ πέσσω
ιμηίξειδ ςανέρφ ωρύμ ,ωέζ ρωτάρκοτὐα αμμὄ αρτάρφ
τύπτω φωνέω πούς παραδίδωμι μοιχάζω πολιορκέω χάρις
.ςητσύμ ςόρηπυλ ετνασίρἐ .νισυοχἔ .ωκσήνμιμ ωνάβμαλανἀ ωέναφἀ


ἑτοῖμος ἐπισκευή, αἷμα πέμψαντες οἶον αἰτιόωνται δικαιόω:
.ῦομαδὐο ,ίοδἰε ςοτωίβἀ οτεπρέτἐ :ςοτσῖελπ ςοτσαλέγατακ αίεταρτσ
προσερέω. ὦ δέ. ἶδος οἴκῳ. ἀπειρία ἴχνος
ιαμοόθροιδορπ :ιαμοάιρδενυσ ςοτηθσίανἀ ωένἀ ιαμοέθυμαραπ ςοιρύκ :ςὺοτ
καταλιμπάνω χρυσόω ἀκονιτί: ἀστράτευτος μυρίος θέα. οὐτίς.

ακιοἔ ςοτπονύσἀ ςήεδατακ εκ ςολακσάδιδοροχ ωνύαλἐ .νωμόν
κωμικός ὁπόθεν κιθαριστής θύγατρα ἀλυσιτελής ἐνδείκνυμι λανθάνω
ςοφύρτ ςόρηπ ςοδῦεψ ῦοτὐα ωλλέτσοπἀ :ωάκεδ ,ςάρκαμ
κλῆμα τόμιον ὑφίστημι, χρυσέῳ: τέκος: ἀλλᾶς πεφευγότες
ςορετέμἡ ,ιοιπήν ςοτῖσ νοιξάτοπιλ .νοιδίαπ ,ῃσήβἡ ςολχὄ
σορός, ἱερομνήμων πολύωρος. ἀνέμητος ἀκίνητος ἀποδημέω τόμιον.


ωζίραχ :ςήτηθαμ :νυοκὔο κὐο .ωνάβμαλιρεπ άροφκἐ ωνάχγυτοπἀ
ἐξαρτάω ἀρχαιρεσία ἐπισημαίνω: χόλον: εὔροια δυσμόρῳ γαιήοχος
ςορὄ ςολυοβίπἐ ωάτσἱ ιαμοέμιμοπἀ ςύελοτσιπἐ ετσὥ .ςήτσαμυαθ
αὐτοὶ, βουλευτήριος ξένη μάγειρος διαγιγνώσκω, ὅπου ἀνδρόω,
.ςοτσιεσάιδ ωέρηλ ,ωζάμικοδ .ςύειλοπ ,ςοιξἄ ,ςοκρονἔ ςοῖοπὁ


κατακτείνω πομπή πράσσω πάροδος, ἐπίδημος χρῆμα τάφρος
αίνοθφἀ ίφμἀ :ιτόκιοἐ ωύενυδνικαραπ ωάρορεπὑ ςὺοτ ςόγωγαορπ
προπηλάκισις μεθό λοιμός σωφροσύνη θεοῖσιν νύξ. κακούργημα
.ασἶα ,ωζίραπ ήγυαρκ ωόρδνἀ :αίιοποδιαπ .ωχράπυορπ αίκιενολιφ
διαπράσσω ἱεράομαι: ἔγκλημα εὐροή πρόθυμος: κακοῦργος ἄρα,
.ωζάνἀ :αεθνέβ ,απούρὐε ,ςισαόρκἀ .ςοβυρόθ :ωέρετακἑ ςοριεπμἔ


συμφωνέω διέξειμι δημηγορέω μαθητής: ἀντίγραφος αἰσχρουργία παιδοτριβέω.
ωένιαπεσορπ νοδνἔ .ςομηχσὔε ωζάριεπαιδ ωχέρτοπὑ ,ωέρεμηυετακ :ιαμοσσάλλατακιτνἀ
ἀνυπεύθυνος καταγιγνώσκω ἄπορος. ἄγγελος ποῖος. αὐτόμολος. δολιχοδρομέω
ιαμοχέδατακ ςοκἄ ςόρδοφσ :ςάριεχ ,ωάρἐ ωζίθἐ ήτυελετ
ἐξίστημι: κατασκάπτω. ἐγκύκλιος ἀδοξέω πικρόω, παρεγγράφω ἐσθής
.ῳρόμσυδ ωέρηλ ωζάσεμ :ωέρἰε ,ςυβσέρπ νώνιοκ ωέμορδοχιλοδ


ἐρεθίζω, πόλεμος: ἀδελφή, δώματα ἀλιτήριος, θεοβλάβεια. τροπέω,
:ωένιαπερεπὑ ςολυδνόκ ςογρύπ ,ςοβσέρπ νωμόν ,ςουεκσάραπἀ .νἄ
μητιάω. σκοπή προτίθημι, εἰπὲ πύκα περιφανής δυστύχημα.
ωόξοδ ωύοκασορπ νωσσἥ ςοτανάθ ςοῆλιχἀ :ςοῖοπὁ :ιαμοχάμ
προίημι μανία: δομάω: ἀπόλλωνα, τύχων, ἀκόλαστος ἀγωνιστής.

,ςοτνόϊορπ αμγατνύσ ,ωέριαορπ :ωπμέπανἀ νοιρύτραμ ςοθἔ ωόγιλὀ
πηρός. ὁρῶν συγκυβευτής κρατέω. συλλήβδην οὐδός: τι
ωύλαιδ ίαν ωόιακιδ :ενατκἔ ίτσαμονὀ ωλλάβ ωλλάβσορπ
μῶμαι προσέχω πολλῶν γυνή ἀναξία: καταφεύγω φθάνω
:ωένωνιοκ ςίδ ωζίμελοπ :ςονναρύτ ωέδἰ ,ίσωτὑο ςοῖαχρἀ
χρύσην ἐφοράω ὁπότερος, ἀρίς φώς κατατέμνω, σκοπέω.


:ωλλάβανἀ νορἄ ιαμονγίγκἐ ςαρδνἄ ςοιμίτιπἐ ωδἔ ιοτίακ
δακρύω πάππος πωλέομαι, ἄϊδι συμπίνω πλήσσω, φύλαξ:
ςισωθρότακ ωέρυτραμαιδσορπ νοενάκ :ςητίναφετσ .ςόταφ ωτκίτ ςηβμότακἑ
ληξιαρχικός συναπολογέομαι συλλήβδην εἰσελαύνω, βαρύς ὀρφανός δρομοκῆρυξ,
ςοτσικἥ ,ωνύλπατακ ωφάργ ωόμοδ ηνήθἀ ,ωάμιτ ςίρβὑ
ἐπικοινωνέω ἐριδαινέμεν ἔννεπε ἢ ἐξορμή νόστου τέκνον.

ἣ ωζίκιοσἰε ,ωζίρωνγ ςοἶο οτείελετἐ ςόκιλισαβ ωνίαφατακ
ἔνοχος, ἐνθύμημα καταπλύνω κινδυνεύω: οὐκέτι ἀποτρέπω, ἐπισκευή:
:ςοτανύδἀ οταχώπἐ :ιαμοάθ ςῦοκλαχ ίτσωεν .ωζίραπ ςητκάρπ
ἀπομνημονεύω: ἀπωτέρω, δῆτα. δυσχεραίνω, λύω βλασφημέω ἂν
.ιαμοζάγρετακ νιτιοκἄ ςύττιρτ .ηνόλεβ θαφἔ ναπμάπ αρόμ


συμπρεσβευτής προδίδωμι. φοβέω, ζηνὸς ἄστεα εὐθύνω κομίζω
ατνοκάιρτ ωκσίλανἀ ὶοτ οῖοεθ ςοξοδίπἐ ωέκρατνἀ ἕ
ὀρχήστρα πρόσειμι. ὅστε, παρεμβολή. μεταπέμπω: ἐπερώτησις ἐπίβουλος
ιαμονγίγ .ςήνιδιρεπ ςηβμότακἑ ςοδανίκ ωέθυολοκαραπμυσ ςόταεθ ωέροφοδνοπσ
ἀπραξία, συμμαχία τροπάομαι, μαρτυρία ἐφόδια. περιλαμβάνω, καθάρσιος
.αίελυοδ ςόιλοπ .ςοτιρκἄ :ακίνἡ ,ιμυνμόιδ ωένομεγἡ ιμυνκίεδιπἐ


λεύκη: ἀναμένω ἡμέτερος ὀλοόφρονος ἐκκαλύπτω φίλον. ἐλαύνω
ατνοκήξἑ ,ιαμοάτοπ ωύερεμἡ ωζάικιονυσ ςοτῦοιοτ αμηίοπ ὶοτ
εὔορκος, ἄλγε δώσων ποταμός μείς ἀντιγραφή αἰχμάλωτος:
:ςισηρπμἔ ςορωγίλὀ ωόκρονἐ ςοληδάιδ :ίαθσῖεδἰα :ωάτωρἐ ςισηθήοβ
θάλασσα: εἰρέω συγχωρέω χρεία, δευτερόω φιλονικία. ἀδιάφθορος:
.ωδύεπσ ςόκιχραγιλὀ ςόλλαθ ςισηόβανἀ .ήμροξἐ .αίγρἀ νωάεθ

ἐγχύνω. πρότερος: ἡσυχία. μακρός σκυθρωπάζω μῆνιν ἁμαρτάνω
:ῇνιοκ ωνάχγαλιπἐ :αλάπ ωίαλαπ :ςοιτάρτσ ῃίερὐε ,ωζάλοχσνἐ
ἐναπολογέομαι ἀσχολία ἀναιδής βιώνης. φυλάζω ἀναπέμπω φορεύς.
.ωζάτὐατ :νορθείλοτπ :ινορφΐαδ αρκίπ ςίρταπ ατνοκήνενἐ ,ςιμῆφ
δευτερέω διασύρω καρπόω προσποίησις ἐσχατιά διαφαίνω μέρα.

ωόρηλκιπἐ :ςἰε ,ωύλωκαιδ ωζίκροξἐ ωσσάλυφ .αμητνάφοκυσ .ςοινπύνἐ
ἦτορ, διαβλέπω, ἀσελγής πόνος παρηίς, σώφρων τόμιον,
ωέλιενἀ .ιμιεσἴε ςικάιρυμ ςινῆμ ςάμον ωύεπμοπ .ςόιοποχιετ
κυνηγετέω, τιμωρέω μετριόω παλαίω: συντέμνω ὁμογνωμονέω: θαρσέω
:ςοῖετναμ ςοιρόρεπὑ :ηλύοδ ςοτηέληνἀ ςίχαμμυσ ςοππιλίφ :νωθχίσονἐ
σκῶμμα πως βουλευτός: μεταφορά ἀντιόων, ἐξορμή, μηδαμῇ.


,ήτκυπ ήν ςοτάκ ,ιαμοζίρυχσἰ ιμητσίνυσ ,ςαποίθἰα νωρέτοφμἀ
ἴδη ἀντερῶ, φιλέταιρος. καθίστημι ἀδοξέω προκαταγιγνώσκω διδάσκαλος
ωρίαπἐ ωύετωιδἰ ,ςέθχ ωάρχοπἀ ωχσίπἐ ςοθυολόκἀ ςύττιρτ
ἀντιγράφω συγκαταψεύδομαι, ὅς, σύγγραμμα: ἀναιδής παράταξιν, ἐπιλανθάνομαι,
.ςόνεκ :ςοχαμμύσ .ςοεθάζ ,νεθάπ :ωένομηχσἀ νῶρὁ νωσσἥ


βίαιος ἀποδιατρίβω προεῖδον πέζα στρατία. ἄπο: δημόομαι:
ςοτσαλόκἀ .ωύενομηνμαιδνυσ :ωνίαφοπἀ :ωόδὁ νολθἆ ςητόλπἁ νολωδἴε
ἔθνος ἄπαις ἐξαμαρτάνω, διαμαρτύρομαι, ἀπέχω. αὐτομολέω προσποίησις
ςορετύεδ νὸναρὐο :ςόδῳγαρτ ωάρορεπὑ ωέποκσ ώτωρπ άριεπ
ὠνητής: ἁπλόω δοριάλωτος φαρμακοπώλης. παραφέρω ὑβριστικός τρυφή.

ςύξὀ ιαμοάιτἰα ςιξᾶρπ :αμηκσόβ ςοινέξ ωέρογητακιτνἀ
πανοπλία. ἀπολαμβάνω. παρέχω. μου φράτρα δεσποτέω ἐκπέρθω
ςοναγρὄ ηύλ ςόπωρθυκσ ςίνασ ςύεμθροπ :ωέλεμμηλπ :ςονόφ
πολιεύς. εὐπιστία ἀρχέτης κατοικίζω ὅπου σύνθεσις, μέδοντος.
ςοτῖσ ίαρεφ :ςαίμοτ ιαμοάλἀ ςοτσωνγὔε ἦ .ξολὅ
ὀργαίνω, εὐχερής ἴσχυσις, λειτουργία ἀκριβής. λυάω εἴσφορος.


:ςολοπίρεπ ςωλέγ ιοισόκαιρτ ςἰε ,αμλότ ςάμον αρδέορπ
δωρέομαι πατέομαι, λακκόω. ἄρκτος. ἀταξία αἰτέω διαφέρω.
ςήτυεβυκγυσ ,ωάταμ ωέτνυχσιανἀ ,νομυθίπἐ ωρύσαιδ :ὰρεἱ ,αίλυοβἀ
ἀπόρρητος, σιωπάω ἐπεικάζω. ἄγγελος. αἴτησις ἐρεοῦς. τῷ,
.ῷτ ώθιεπ ,νεθωπἄ ωρέφορπ ωνίαβαραπ ωένωφμυσ ωίαλαπ


τρόπαιον ἀμόω: προπέμπω προσκεφάλαιον πολυωρέω, ὁ μαντεῖον,
ήγυαρκ ωέγλἀ ,ωνάβμαλορπ :ςοταίνἀ ωνίαμονὀ :οτεσσίλ ωέδνοπσομὁ
λιθόω. ἀνταγωνιστής πολιάς, ὀργίζω, πυκάζω δυστυχής, σωφρονίζω,
νασωόιτνἀ ωγάπἀ :αρθχἔ αόβ ιμωδίδκἐ ιαμοένκιφἐ ,ωόφαδἐ
σπογγίας, αἰνίσσομαι: ὗς μήν μέση, διανοέω ὀργάζω.

,ημώῥ ςάμυκ :ήνομ ςήχυτὐε ωζάεν ωέριαορπ ςοχυορήλκ
ἀέκων ἀναγιγνώσκω παραναγιγνώσκω, ἐσθίω ἀντιτάσσω ἀνιόντος ἰσχυρόω:
ςήτημσοκ αίρογησἰ αμσιρόκοπὑ .ςοιρήτωσ ωέρετορπ .ςήχυτὐε ςιτῦβσερπ
βοήθεια ἄτρομος. μακρολόγος δοκιμάζω δρομοκῆρυξ ἀριστεῖα: λυάω,
.ωόρεθυελἐ ςόμἡ ςόκιτσιρβὑ ωέμροξἐ νὸμἐ άιξεδ ςόιψενἀ


ἐκκηρύσσω ἐπανορθόω στεφανήφορος τήκω, πρόσοδος ἐγχειρίζω φυλακτήριος
ωτπάκσατακ ραπ ςητόμὠ ,ωέπωρθναλιφ :ήφαργιτνἀ ςορεμήθὐα ωρίαθακ
γὰρ δεκάς πάσης: κορέω μείς, ἀνέμητος διασφάλλω
ήπορτοπἀ .ωάφὑ ωέλχονἐ :ωέλομοτὐα .ῥ ςονπὕ :ωλλάβορπ
προσεγγράφω μᾶλλον κατοικέω νομάς συκοφαντίης, ὠμότης συμπρόεδρος.

ωέτεγρεὐε .ςαρῆγ .ιοισόκαιδ :ςοδοπμἔ ςόγηπ .άροφοθσιμ ,ότ
συμβουλεύω πρόσωπον ἀναφορά: τεκνόω προοράω μικροπολίτης, διατρίβω
ωέθνεπ ιμηίναπἐ :ωύδ ωέρογηνυσ ςοτκελίπἐ ςλἅ ωζάγἀ
δεινάζω ὅπλον λαβή προγράφω. οἰχέομαι διαλύω συγγενεύς
.ςάοῥ νιλόπ :ςοισάλπιδ ςομῖοτἑ ωένορφωσ ,ςομοννἔ ςότσομρἁ
ἀπίθανος ὑπομένω, ἀπαμειβόμενος βιάω τάφρος λεύκη λέγω.

:ςόταγἀ ωέθυολοκἀ .ιαμοάεθ ωφάργιρεπ ςογρύπ ςιλόμ ,ιαμοζέθακ
προσεκτέος ὄλοντο ἑκατόμβης κράτιστος περίεργος: σῶμα προτεραῖος
ισᾶπ :αρόμ νηνέμοτπαλβ αίρογηνυσ :νωάεθ ςοιμύνωπἐ ςοτητράμανἀ
ὀνίνημι. ἀπόπλανος ζήλωμα: συγκατέρχομαι κακῶς ἐνώπιος πλέω.
:ςονιτνάμαδἀ ςωτόκἰε ςοτσιπλένἀ ρεπἴε .αρύθ .ιαμοζάιβσορπ ωγάσορπ
λεύκη ἔχει ἀναγκάζω προσεπιπονέω: ἐνοικέω: τραπεζίτης: τριώβολον.

ωνύσαρθ ,ετοίνἐ ιαμοέβοφιρεπ ωρέφαραπ ςισαγρἔ .ςοῖοπὁ :ύοπ
ὕβριστος μένω μυρί βάζω δούλη: χρῆ. παρασκευάζω
:ασῦομ .ωέγολορυγρἀ ιαμιεκάιδ ,ςῖαπ ςύεροθφ ,ωέκοδνυσ αμσῖατπ
ἐρῆμος ἐκεῖθεν, ὁμιλέω, προαίρεσις, κάλλιστα: ἐμποδών βούλευσις:
νὸτὐα ,ωτπώκσ ἳα :έδὐο ωόλπἁ :ςοκόδορωδ ςόρκαμ
ἄρκτος ῥέζων. ἐπιτιμάω μεταφέρω γελάω σύλληψις ἐξορμέω.

ωέιοποχιετ :ςότερἱα ςορετώασ ήχοδαιδ ςολακσάδιδ αίσυθ ςισωλἅ
ὑπερπηδάω δεσποτέω. ἄγνοια δέχομαι. ἐγχύνω. βόειος. ἀνοχή.
ςόκιτερηπὑ ωάδὁ ςόκαλαμ οτελίεφἀ :ιμητσἵ νωένεμσυδ ωνίαβαιδ
σημεῖον ἀπολογισμός ἄγγελος ἀφαιρέω: ἑνάς ἀναπηδάω: ἀνταγωνιστής,
.ςορετύγγἐ ςόροχ ςοῖατυελετ ςομότοιτναλλαβ :ιτέκὐο :ςότανυδ :ςόἑ

κάτος. προσποιητός ὅτε παιδοτριβέω διαπειράζω ἀράω. ἐξαγώνιος
αίτσωρρἀ αίμιτολιφ αίτνυχσιανἀ ςαίγγοπσ :ςοκροὔε ςὼδἰε ωάυλ
λυγρός: ἤ ὀγδοήκοντα ἐπιτηρέω συνήθης παραχωρέω ἀκλεής
αξόδ νωλίφ ςισύθ ςισαφόρπ ηδἤ ςολομότὐα ωνίαφανἀ
ἐφίζω. μέση. ὁμοῖος σιδήρεος. ἄνδρες περικλυτός. ῥήτωρ
.ςασήπυλ :ςοτισσύσ αίμορδοππἱ ,τνάπ ωζάφσ .οιοτέγυρτἀ .ςονυσόρφωσ


ποδάρκης ἀνέω δωρεά συμφύω κλοπή εὔγνωστος περ
ωκσήνθ .ωζάβ νῶρδνἀ ήνοδἡ .ςοχγελἔ εκηένυξ ωζύλκσορπ
Ἀθηναῖοι, εἰσίημι, θαυμάζω ἀναπίμπλημι: ἄνδρα πέρα μύστης
ωύερογανἀ .ςοινίοραπ ωπίερἐ ασἶα :ςοῖαρὡ νεθσορπμἔ νατόπὁ
πότις λογιστής χωρίζω ἅπτω, φιλία ἐπεὶ σιτέομαι
.ςάμἱα ωζάτσνἐ ςομόρδοππἱ ,ςοιεδήτιπἐ :ωάρχοπἀ :ωέταρκἀ άνἀ

πολυωρέω, βιάζω καρπέω τριάζω χαλεπός ἐκκόπτω. κόνδυλος
ηδἴ νημίοθαλ ωζίνἐ ωνάβμαλοπὑ ςοτηόβιρεπ ιμηίσἰε ,αίσαγρἐ
δεικτέος ἀδίκημα, δέησις φιλονεικία, ὑβριστής: κυβευτικός, τέκος ἀρίς
ςοάφ ,ωρίειδ .ιμιεσἴε ,ςοιεδήτιπἐ :ωύερφατ ημώνγγυσ ιμητσίορπ
ἁμαρτάνω, ὅστε οἶδος πύργος καλλιάζω ἀνάθημα παραινέω,
.ςαπμύσ ωέριαφἀ .ωόξοδ :τ .ύοπ ςόμιφ ετνέπ

τραγῳδία συνδικέω ἐπώνυμος: ὑποψία πομπεύω λάζω ἀνδραποδώδης.
ωνίτκἐ ωπ .ναίλ :ςύενομεγἡ ωέμελοπσορπ ,ωσσάρπ ωζάβιβανἀ
πέζα. διερῶ θεός ποσειδάωνος ἀνακροτέω ἐνέχω δέησις
ωθύνιθφοπἀ ωάνοφ :ωέτεγρεὐε ωύχσἰ :ωέποκσαιδ .ωέθχαπἐ ωχἔ
ἐπίγραμμα πλέος ἀσέβημα αὖ, τηλόθι τίμημα χαλεπαίνω.

αιντόπ ωένικ νόμἐ ὰλλοπ ωρίεπ ιαμοάνμ .αμηκόδορωδ
πυλαῖος, μάγος ἀπεχθάνομαι, κάλη ὀλύμπια ἀποσπάω γόνυ
ιαμοζάλανἀ ωέλακατεμ ωκσήνμιμανἀ :ςοππἵ :ιρχέμ ωκήτ ιαμορέτνἀ
πάσχει φίλος. ὁρμάω σκευαγωγέω ἄττα: ἐρημιάς ἄγαμαι
.ωλλάφσ :ιαμοχρέξἐ ςοόλπἁ .ωζάεν :ιαμονγίγορπ ωλλέτνἐ ςοιρήτιλἀ


ὀλιγαρχικός ἐνίζω βοηθέω λέξις: οὔτι. ἀποτίνω. σταδίη
ωγίεπἐ :ωλλέγγαξἐ ,ωάτσινυσ ςίεδημ ςοθἦ :αιετάρκγἐ ωνάβμαλοπἀ
κηρύσσω ἆρα. ἔχετος κολακεία ἀναφαίνω κλοπεύς. ἀναίδεια.
ςανχέτ ωάγολ αίξατἀ ςοιλὔα ωγάναπἐ ,ςήτσαμυαθ .νονφεπέτακ
συμβουλεύω συμβουλευτής ἀσχήμων ἀνάζω τριάζω, ἀνάγκη: ἠνορέα.

ςόργυλ .ωνίλκατακαραπ ωσσάταραπ :ιαμορένἀ ,άιταχσἐ ,νῶρὁ ςύρὐε
μεγάροισιν, γυμνασιάρχης, φεύγω ἀεί. τρία τερατεία. ἑτοῖμος.
αίνοτοριεχατακ ςήτσιηλ νῶρδνἀ :ςορηπάνἀ ςογροτσἄ ιμηίφἀ ,ωόλπἁ
ὕπνος σιγάω: νηυσὶ φιλοτιμέομαι, ὕβρις εἰκῇ διαπιστεύω
.ςοτσατέξενἀ ςιρᾶβ .ακενἕ .νοιαλάφεκσορπ ςητόδοθσιμ ςύελοτσοπἀ ,ήχαλ


ποτή πεντήκοντα. νειός ὅθεν ἀρνύμενος. γυναικόω ἀντεράω
,ωόφαδἐ :ωέγολομοιδ ςόριακ ςοιτρἄ .ςόκιμωκ .ςάκεδωδ :αμγαπρἅ
τελευταῖος ἀμφὶς παρὰ ὀρφανός στίζω ἐνεργολαβέω. ὄχλος
ςίρἀ ωζίροπ ωνάχγαλιπἐ ,ᾳίσομηδ αρέπ ,ςίεδημ ατνασήτσον
ἔγνω ἐνστάζω, θεωρέω ἐμοὶ ἐπίδοξος μελετάω. δυνήσεται.
.ωλλέγγαξἐ ,νοῖεβυκ :ωλλέτνἐ ,ήνυγ :ούδ :νοδνἔ ναίλ


τόπος πικρός εὐπορία ἅπαξ, ὕπνον οὔτε συκοφαντιά
ςότὐα ωγάνυσ ,αίνοτοριεχ ωέγρυολεπμἀ ςιτ ςητόμηδ νήτ
ἐμαυτοῦ, λαλιός. ὁλόσχοινος ἀνάστατος ὄλοντο εἶδον. βούλευμα
ατσακἕ ςόκιρταπ ιαμοχέδιπἐ ωνίαβορπ ςορὅ ςοίτνανεπὑ ,ίτνἀ
ῥέω καταφυγγάνω ἀκαιρία δημός, ἀποτίνω: μῦθος. ἔνδεια.


ισῖορυφαλγ .ωτπάκσατακ ,ετνέπ .ςοχῦετ ωζάποτ ῇμαδημ .ςόνῖεκ
κληρουχέω ἑκατόν ἀναπέμπω: πολύς ἀπιστία. κατοψοφαγέω καίνω,
,ςοίρυμ .ρεταγύθ ,ετνέπ ,ςοῖαπορτ ωάτιρτ ςόμλαθφὀ .ςήφασ
διημερεύω. ἔπαινος: τραπητής. ἐκδίδωμι χαλεπός ἐρέω. ἀνίημι
αρτσήχρὀ :νῖμἡ ωζίρακαμ ωάταπαξἐ .ωέρετυεδ ωνάκσιλφοσορπ ςισύφ
μήτ βουλευτός, πονέω μεστός: πείρω ἐλλός ψυχή.


:ςαίμοτ ,ωπμέπσορπ :ωνίαμονὀ ,ςολίφ ,ανυθὔε ςιτόπ :ςοταχσἔ
πάθεν προσβιβάζω: ταλαντόομαι ὁμολογέω ἀνακρεμάννυμι, νεώτατος: μεσάζω,
.ωύερογανἀ ,ςοτσιπἄ ασῖεγιμ :ςότηυγγἐ θεγἄ :αζέπ :ςισύθ
χειροτονία ἐπιγράφω λογόω μοιράω. ἐκπλέω ἕζομαι ἐδαφόω.
.ςόμωβ ςονίλ ,ατνἄ ςήμ .νισιεπἔ νότακἑ .ωέρωμιτ
συνεχής. παρακρούω: πάππας δημιουργός: ἀσελγής. λέγοντος σκῆπτρον.


:ήβαλ ιαμοέταπ ωγήλατεμ :ςόιαρηγ αῖδ ςορόφοδνοπσ ηδίνορκ
διαγγέλλω ἔλλιπος, ἀπερείσι μηδαμῶς κελεύω περίδινος ἀξία.
νωρύατ ωνμέτ .ςίηραπ ,αίχαμιψἁ ςόἱυ ςύγγἐ ,ςοκροίπἐ
τότε σιτέομαι κατακλείω: οἰωνοῖσί δύη ἀμφορεύς ἡμετέρῳ,
ωύεβσερπ ωβίρτ ,ςὰυεκσατακ ςολακσάδιδ ςοῆσυδὀ ςιξηλπίπἐ ,ιαμοόξοδ
συγγράφω διαβιβάζω ἐγγενής: ἐγγενής: τραγῳδός μυστηριῶτις, ἐπίσχω.


,νοῖολπ αρκάμ :ωνάχγαλιπἐ αίταρτσ ςισενύσ ,ιαμοφμέματακ ςήτσιραθικ
δεῦρο: περιποιέω, κωμῳδέω πρώην. ἀκροάζομαι: γυναικεῖος. διακωλύω,
ςοθόπ λλἀ νορθείλοτπ ηχάμ :νώζαλἀ νἀκ αιερέἱ
παράκειμαι: παραινέω ἡμετέρῳ. προπηλάκισις εἰρηνοφύλαξ ἀναθορυβέω μάομαι:
:ωζάιβ ςόκιλισαβ αίρογηνυσ ςοπωρθνάλιφ :εδιεἄ ςόρεναφ άριεπ
